spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),"Kendrick Lamar, SZA",25,-7,-11,AT,3/1/25,90,TRUE,232186,Black Panther The Album Music From And Inspired By,2/9/18,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4
3VIEbpdr64a1mNSa8MqBAm,ALL IN (Lieblingslieder),Fäaschtbänkler,26,4,8,AT,3/1/25,64,FALSE,163601,ALL IN (Lieblingslieder),1/15/23,0.82,0.94,0,-6.307,1,0.113,0.0403,1.33E-06,0.243,0.79,140.022,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,27,-6,-3,AT,3/1/25,90,FALSE,211978,Sailor Song,7/26/24,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,4
05ayHD9SFkfqhVUOUxBOyv,HERZBLATT (AUA AUA),"Tream, Mia Julia",28,6,-1,AT,3/1/25,68,FALSE,160886,HERZBLATT (AUA AUA),1/17/25,0.638,0.922,5,-2.969,0,0.277,0.147,0,0.12,0.544,82.602,4
18o2gKM9pMyEWWAT9ZaGvr,Mona Lisa Motion,ZAH1DE,29,4,8,AT,3/1/25,63,FALSE,132631,Mona Lisa Motion,2/20/25,0.789,0.791,4,-8.473,1,0.152,0.0324,1.49E-06,0.16,0.756,151.818,4
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",30,-5,-5,AT,3/1/25,82,TRUE,256000,Hurry Up Tomorrow,1/31/25,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96E-06,0.138,0.6,119.999,4
7CwJ8o9FdExCbIuLCnsHK8,Angels Sippen Mashup,"Der Heimer, Symba, SDP",31,-15,19,AT,3/1/25,24,FALSE,128780,Angels Sippen Mashup,2/9/25,0.67,0.645,8,-7.001,1,0.055,0.089,0,0.0686,0.429,82.033,4
2ccrHH7JIwIF8V8kaQ1jw4,Wackelkontakt - HBz x Luca-Dante Spadafora Remix,"Oimara, HBz, Luca-Dante Spadafora",32,18,18,AT,3/1/25,56,FALSE,169437,Wackelkontakt (HBz x Luca-Dante Spadafora Remix),2/21/25,0.632,0.889,0,-2.165,1,0.309,0.00443,0,0.342,0.513,170.015,4
1cXo8i9dgutdqjhjz3Zwqq,eehhhyyy,"Zartmann, Drumla, Dauner",33,-1,5,AT,3/1/25,67,FALSE,135082,dafür bin ich frei EP,6/21/24,0.739,0.766,5,-6.459,1,0.0729,0.272,0,0.42,0.82,133.067,4
4il87YHqSV9UqbBkXM7z7m,Sports car,Tate McRae,34,-10,-13,AT,3/1/25,75,FALSE,165045,So Close To What,2/21/25,0.861,0.815,11,-3.672,0,0.0342,0.0527,0.00127,0.1,0.897,106.986,4
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,35,-7,-9,AT,3/1/25,94,TRUE,237117,DeBÍ TiRAR MáS FOToS,1/5/25,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,36,14,0,AT,3/1/25,85,FALSE,208211,Strange Trails,4/6/15,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,37,-10,-7,AT,3/1/25,89,FALSE,218423,"Good Luck, Babe!",4/5/24,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",38,9,12,AT,3/1/25,82,FALSE,252306,Planet Pit (Deluxe Version),6/17/11,0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,4
5RKQ5NdjSh2QzD4MaunT91,Don't Stop Believin' (2022 Remaster),Journey,39,5,11,AT,3/1/25,81,FALSE,249600,Escape (2022 Remaster),7/17/81,0.505,0.754,4,-7.435,1,0.0366,0.132,0,0.204,0.51,119.204,4
22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",40,-5,6,AT,3/1/25,80,FALSE,258431,The Heist,10/9/12,0.633,0.927,2,-4.468,1,0.0839,0.0267,0,0.0986,0.88,146.097,4
1XhEwA9KL44MtKNfHEc2NJ,WER MACHT PARA 3,"Eno, Dardan, Daniel Slump",41,-12,-34,AT,3/1/25,65,TRUE,146493,WER MACHT PARA 3,2/21/25,0.834,0.784,11,-5.589,0,0.234,0.0626,0,0.342,0.778,140.047,4
4495xO2HkmqoYIxQO2FvAH,Ma Baby,Jazeek,42,-4,2,AT,3/1/25,70,FALSE,138000,Ma Baby,11/8/24,0.685,0.775,4,-6.502,0,0.0621,0.00946,0.00616,0.135,0.0786,100.012,4
7yNQ5oPcuCC4wTqTcMRIrE,Running Around,Ely Oaks,43,2,7,AT,3/1/25,69,FALSE,124620,Running Around,1/31/25,0.703,0.904,0,-4.735,1,0.0778,0.0163,0.00187,0.331,0.427,158.061,4
541sN2qNfIlllGn9nGOQoC,Revolving door,Tate McRae,44,-13,-12,AT,3/1/25,79,TRUE,180032,So Close To What,2/21/25,0.452,0.737,6,-6.22,1,0.27,0.354,0,0.105,0.179,147.822,4
3x3K1RP3Zfi2qeMR8kyrNO,Sorry I'm Here For Someone Else,Benson Boone,45,5,5,AT,3/1/25,39,FALSE,156582,Sorry I'm Here For Someone Else,2/27/25,0.533,0.758,2,-4.613,1,0.034,0.0437,0,0.16,0.515,149.719,4
4hYinIaRxdaoEFSQni6K6I,Nur ein Wort,Wir sind Helden,46,-5,4,AT,3/1/25,66,FALSE,236200,Von hier an blind,4/1/05,0.483,0.911,11,-4.645,1,0.0486,0.0218,7.85E-06,0.194,0.944,184.882,4
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",47,-8,-19,AT,3/1/25,90,TRUE,220690,GNX,11/22/24,0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
5nPbKG04fhLkIAjcPFaZq7,I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",48,0,2,AT,3/1/25,80,FALSE,214000,I Adore You (feat. Daecolm),7/19/24,0.704,0.787,11,-6.751,0,0.0462,0.00926,0.00538,0.159,0.31,119.996,4
3U5JVgI2x4rDyHGObzJfNf,Unwritten,Natasha Bedingfield,49,1,1,AT,3/1/25,81,FALSE,259333,Unwritten,8/30/04,0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,4
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,50,-13,-11,AT,3/1/25,81,FALSE,258034,The Rise and Fall of a Midwest Princess,9/21/23,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
4x7j9ed3FRH6CHj27kiTQ3,Wackelkontakt,Oimara,1,0,0,AT,2/28/25,76,FALSE,168801,Wackelkontakt,8/2/24,0.739,0.77,7,-3.009,1,0.292,0.0374,8.59E-06,0.356,0.521,169.963,4
6j8OrKDQHxXakjA7KKbWzj,tau mich auf,Zartmann,2,0,0,AT,2/28/25,77,FALSE,110902,tau mich auf,1/31/25,0.888,0.791,2,-7.766,1,0.0992,0.256,2.42E-06,0.183,0.821,124.981,4
36w8f4Cl7JqTbFDamAdq8Q,Wie?,AYLIVA,3,0,47,AT,2/28/25,71,FALSE,173325,Wie?,2/20/25,0.644,0.43,7,-10.548,0,0.0373,0.098,0.000215,0.141,0.094,131.984,4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",4,0,-1,AT,2/28/25,87,FALSE,169917,rosie,12/6/24,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
6yT1Qf1EKbUfiROeOWtzeN,Wenn der Himmel weint,"Bausa, Jazeek",5,0,45,AT,2/28/25,70,FALSE,128641,Wenn der Himmel weint,2/20/25,0.723,0.401,6,-10.396,0,0.271,0.205,0.000615,0.415,0.197,122.253,5
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",6,0,-2,AT,2/28/25,96,FALSE,251667,Die With A Smile,8/16/24,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
