spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1o0qlusiY9LdkWtPxgybVs,Щото е маймуна,"Krisko, TuFo",26,10,24,BG,3/1/25,39,TRUE,217245,Krisko 2007 - 2009,2/1/23,0.89,0.68,0,-5.856,1,0.289,0.196,0,0.288,0.939,80.02,4
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,27,-2,-3,BG,3/1/25,89,FALSE,223398,Abracadabra,2/3/25,0.68,0.909,10,-3.487,0,0.0624,0.0121,0,0.222,0.633,126.004,4
5zQJgQMsG2Q8JOmMmiE5Nt,Здрасти,Medi,28,5,22,BG,3/1/25,41,FALSE,213975,Здрасти,12/7/23,0.569,0.918,11,-4.404,0,0.0796,0.0972,2.76E-05,0.283,0.513,169.872,4
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,29,-6,-8,BG,3/1/25,92,TRUE,274192,Not Like Us,5/4/24,0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
0uoFYncPoFjOb7uU33yyl0,AMG Isteria,"Tedi Aleksandrova, Silver",30,-2,-3,BG,3/1/25,44,FALSE,240000,AMG Isteria,8/16/24,0.691,0.818,5,-5.593,0,0.124,0.0248,0,0.0853,0.673,174.116,4
1AmRVeI8FGlmFWhnMvfxYl,Друга любов,Medi,31,4,-6,BG,3/1/25,41,FALSE,223561,Друга любов,1/30/25,0.592,0.787,11,-6.213,0,0.032,0.309,3.19E-05,0.0682,0.593,145.972,4
1ZNaBYL73COjUVvINlKPlV,Влака,"VANE$$A, Konstantin",32,-3,2,BG,3/1/25,42,FALSE,174352,Влака,12/15/24,0.683,0.954,5,-1.381,0,0.156,0.0659,1.74E-05,0.127,0.881,169.967,4
5whMzbUxj5DXoie9aiVb0O,Ne me zasluzhavash,"Konstantin, Emanuela",33,13,7,BG,3/1/25,40,FALSE,213913,Dokato sartseto bie,1/1/12,0.73,0.878,5,-2.842,0,0.0699,0.0209,0,0.0849,0.841,92.037,4
0u52MS7dNsEFTbAuwcgSKM,Първият,"Dessita, Emrah",34,-4,16,BG,3/1/25,40,FALSE,197608,Първият,6/9/22,0.579,0.907,5,-3.367,0,0.118,0.0811,0,0.0825,0.629,184.056,4
1SF5ZAO1oUSduw2lHschoA,От кеф да умирам,"Dessita, SIMONA",35,14,-3,BG,3/1/25,40,FALSE,240937,От кеф да умирам,7/22/23,0.56,0.929,1,-4.004,0,0.199,0.192,0,0.277,0.814,127.781,4
34nRREax6dS5rV7QJO3q9K,Снайпера,"Alex Robov, Tedi Aleksandrova",36,-5,-8,BG,3/1/25,43,FALSE,194666,Снайпера,12/14/24,0.593,0.927,6,-3.901,0,0.181,0.114,0,0.484,0.831,180.228,4
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,37,-10,-11,BG,3/1/25,86,TRUE,224136,Hurry Up Tomorrow,1/31/25,0.647,0.645,7,-6.425,0,0.0303,0.0871,0,0.671,0.422,120.098,4
0336cbGmNVwmytwQh0zNeB,"Пуши, пуши","Danna, Konstantin",38,-4,12,BG,3/1/25,42,FALSE,220400,"Пуши, пуши",4/26/24,0.67,0.968,6,-2.128,0,0.0865,0.3,0,0.112,0.893,74.974,4
4rBRRLgdB9DYJhqA9uVcWt,FXCK UP THE WORLD (feat. Future),"LISA, Future",39,11,11,BG,3/1/25,72,TRUE,184155,Alter Ego,2/28/25,0.687,0.663,2,-5.707,1,0.0468,0.00598,3.53E-06,0.215,0.25,146.02,4
6i9AZs8Cv8d3I6PQMN22RC,Зиг-заг,Galena,40,10,4,BG,3/1/25,42,FALSE,168800,GALENAXX,6/20/24,0.78,0.862,5,-3.473,1,0.0896,0.151,0,0.251,0.714,149.969,4
772ARvmnEjryug7ce0lRAF,Филм за нас,"Tsvetelina Yaneva, Medi",41,7,0,BG,3/1/25,41,FALSE,181304,Филм за нас,12/27/21,0.565,0.871,6,-4.698,0,0.114,0.0922,0,0.0386,0.661,184.168,4
6W2jsJG6MPPJ6xTWcNEeHr,Грешници,"Lidia, Konstantin",42,8,8,BG,3/1/25,41,FALSE,248000,Грешници,2/11/21,0.634,0.84,2,-4.237,0,0.0465,0.415,0,0.323,0.663,89.996,4
46iEOpz4CimiWRbX9KaJNB,Мания,"VANE$$A, Alisia",43,-3,-6,BG,3/1/25,41,FALSE,188571,Мания,10/28/24,0.696,0.912,8,-3.672,0,0.147,0.0701,0,0.213,0.831,76.99,4
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",44,-6,-13,BG,3/1/25,90,TRUE,220690,GNX,11/22/24,0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
0FQVI0C86ASSO1TW4YIoUG,Бавария,"VANE$$A, Konstantin",45,-3,2,BG,3/1/25,40,FALSE,197030,Бавария,11/18/23,0.683,0.958,5,-2.929,0,0.0804,0.303,7.81E-05,0.101,0.897,172.083,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,46,-9,-3,BG,3/1/25,94,FALSE,210373,HIT ME HARD AND SOFT,5/17/24,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
1rLpf280OicMHgkl6SfGHG,Башмайсторска,"Billy Hlapeto, Lexus, Dim4ou",47,-2,3,BG,3/1/25,39,FALSE,187333,Башмайсторска,5/16/12,0.766,0.794,6,-6.257,0,0.204,0.277,0,0.0843,0.681,90.027,4
5zGNZb89Vq33vOvyqjgYvF,Драскай клечката,Tsvetelina Yaneva,48,2,2,BG,3/1/25,41,FALSE,218400,Драскай клечката,5/1/23,0.766,0.9,4,-2.168,0,0.0601,0.24,0,0.05,0.943,150.092,4
6eACv4nBj96TX5OjJW5QkO,"Честито, скъпи!",Ivayla,49,1,-4,BG,3/1/25,39,FALSE,205263,"Честито, скъпи!",12/8/24,0.733,0.809,0,-4.361,0,0.223,0.201,0,0.0835,0.751,151.979,4
1u8eHkUmd6VCRTVZQ7JKX1,Da Si Plashtal,Emanuela,50,0,0,BG,3/1/25,40,FALSE,193440,Zapoznay ya s men,1/1/08,0.661,0.838,3,-3.747,0,0.037,0.298,0,0.115,0.942,101.016,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,1,0,0,BG,2/28/25,86,FALSE,170887,MUSE,7/19/24,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4
4np8dpfv5qahhkOSzgsMFL,Питаш ли ме,Tsvetelina Yaneva,2,2,1,BG,2/28/25,47,FALSE,178461,Питаш ли ме,12/20/24,0.689,0.839,1,-5.611,1,0.0738,0.0396,5.78E-06,0.295,0.868,156.01,4
0b2D7UMjaaIYJndNYBbdRU,Мераклия,Djordan,3,4,1,BG,2/28/25,48,FALSE,188780,Мераклия,12/15/24,0.682,0.878,10,-4.562,1,0.0634,0.00302,0,0.03,0.681,164.049,4
3d2bsbugow8JiNvuaRupFH,Slow Dance (feat. Sofia Carson),"Jimin, Sofia Carson",4,-1,46,BG,2/28/25,70,FALSE,188399,MUSE,7/19/24,0.68,0.719,1,-6.078,1,0.0708,0.132,0,0.0295,0.8,87.016,4
7gMfVc4zfNIxuMyMGglOHa,Rebirth (Intro),Jimin,5,-3,31,BG,2/28/25,68,FALSE,144624,MUSE,7/19/24,0.372,0.567,5,-4.211,0,0.0361,0.142,0,0.0871,0.0928,172.024,4
5muTWlhHQ2MjzTrEQB2MYg,Sinite ti ochi,Emanuela,6,0,-1,BG,2/28/25,40,FALSE,210374,Sinite ti ochi,2/14/25,0.699,0.794,1,-4.782,1,0.11,0.135,0,0.138,0.793,160.018,4
21z8pee2qYV0SzbqQCb72g,Разкажи ѝ,Dessita,7,-2,-5,BG,2/28/25,48,FALSE,211578,Разкажи ѝ,1/24/25,0.688,0.869,1,-5.753,0,0.0555,0.0885,0,0.161,0.668,152.056,4
3WiUtI325WtTAk3lacleM8,Чалга,"Krissy, Tedi Aleksandrova",8,0,1,BG,2/28/25,44,FALSE,221243,Чалга,12/27/24,0.663,0.891,0,-5.772,1,0.103,0.0317,0,0.352,0.634,171.922,4
4gjATTXuqOl7YbkCXtFrBo,"HE, HE, HE","Fiki, Galena",9,0,10,BG,2/28/25,38,FALSE,189863,"HE, HE, HE",2/16/25,0.702,0.882,0,-6.472,0,0.0617,0.105,8.75E-06,0.0915,0.798,145.946,4
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",10,3,1,BG,2/28/25,82,TRUE,256000,Hurry Up Tomorrow,1/31/25,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96E-06,0.138,0.6,119.999,4
5TjlAP414QjsGyni3HZa4H,Mi Amor,"Dessita, Djordan",11,3,-3,BG,2/28/25,46,FALSE,198000,Mi Amor,6/6/24,0.784,0.885,6,-5.721,1,0.0558,0.0481,0,0.0705,0.538,125.98,4
542H35VsHuyhN1mBzDpAaT,Mazalyak,"Emanuela, Monkey",12,-1,-5,BG,2/28/25,47,FALSE,218181,Mazalyak,12/4/24,0.668,0.899,0,-4.684,1,0.143,0.095,0,0.102,0.764,175.936,4
3dka3n7xJ9gPiqPhWPy4su,Окадар,"DJ Damyan, Emanuela",13,-1,-7,BG,2/28/25,46,FALSE,244090,Окадар,5/26/24,0.615,0.89,6,-3.902,0,0.0982,0.0859,0,0.0544,0.826,176.095,4
