Country,Country Code,Time,Time Code,"GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]","GDP,current US$,millions,seas. adj., [NYGDPMKTPSACD]","Imports Merchandise, Customs, constant US$, millions, seas. adj. [DMGSRMRCHSAKD]","Imports Merchandise, Customs, constant US$, millions, not seas. adj. [DMGSRMRCHNSKD]","Imports Merchandise, Customs, current US$, millions, not seas. adj. [DMGSRMRCHNSCD]","Imports Merchandise, Customs, current US$, millions, seas. adj. [DMGSRMRCHSACD]","Imports Merchandise, Customs, Price, US$, not seas. adj. [DMGSRMRCHNSXD]","Imports Merchandise, Customs, Price, US$, seas. adj. [DMGSRMRCHSAXD]","Official exchange rate, LCU per USD, period average,, [DPANUSLCU]","GDP,constant 2010 LCU,millions,seas. adj., [NYGDPMKTPSAKN]","GDP,current LCU,millions,seas. adj., [NYGDPMKTPSACN]","Stock Markets, LCU,,, [DSTKMKTXN]","Stock Markets, US$,,, [DSTKMKTXD]","Core CPI,not seas.adj,,, [CORENS]","Core CPI,seas.adj,,, [CORESA]","CPI Price, % y-o-y, median weighted, seas. adj., [CPTOTSAXMZGY]","CPI Price, % y-o-y, not seas. adj.,, [CPTOTSAXNZGY]","CPI Price, seas. adj.,,, [CPTOTSAXN]","CPI Price,not seas.adj,,, [CPTOTNSXN]","Exchange rate, new LCU per USD extended backward, period average,, [DPANUSSPB]","Exchange rate, old LCU per USD extended forward, period average,, [DPANUSSPF]","Exports Merchandise, Customs, constant US$, millions, not seas. adj. [DXGSRMRCHNSKD]","Exports Merchandise, Customs, constant US$, millions, seas. adj. [DXGSRMRCHSAKD]","Exports Merchandise, Customs, current US$, millions, not seas. adj. [DXGSRMRCHNSCD]","Exports Merchandise, Customs, current US$, millions, seas. adj. [DXGSRMRCHSACD]","Exports Merchandise, Customs, Price, US$, not seas. adj. [DXGSRMRCHNSXD]","Exports Merchandise, Customs, Price, US$, seas. adj. [DXGSRMRCHSAXD]","Industrial Production, constant US$, seas. adj.,, [IPTOTSAKD]","Industrial Production, constant US$,,, [IPTOTNSKD]","Months Import Cover of Foreign Reserves,,,, [IMPCOV]","Nominal Effective Exchange Rate,,,, [NEER]","Real Effective Exchange Rate,,,, [REER]","Retail Sales Volume,Index,,, [RETSALESSA]","Terms of Trade,,,, [TOT]","Total Reserves,,,, [TOTRESV]","Unemployment rate,Percent,,, [UNEMPSA_]"
Poland,POL,2025M02,2025M02,..,..,..,..,..,..,..,..,4.01205,..,..,104.5185746,74.2910041,154.2535509,154.3072413,..,5.433130397,172.0858338,172.1247563,4.01205,4.01205,..,..,..,..,..,..,..,..,..,..,..,..,..,229181.9,5.2
Poland,POL,2025,2025,..,..,..,..,..,..,..,..,3.997643757,..,..,102.4876518,73.20017943,153.9464879,154.2285554,..,3.177280121,171.915673,171.8648473,3.997643757,3.997643757,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.15
Portugal,PRT,2025Q1,2025Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,2025M03,2025M03,..,..,..,..,..,..,..,..,185.8916154,..,..,80.04701649,60.35995441,..,..,..,..,..,..,0.9271290698,185.8916154,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,2024Q4,2024Q4,72739.12549,77667.65474,..,..,29676.67176,29466.53044,..,..,..,61376.3,72839.1,..,..,..,..,..,..,..,..,..,..,..,..,21169,21567.41291,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,2024Q3,2024Q3,71633.63271,78760.51192,..,..,29461.13951,30149.81074,..,..,..,60443.5,71681.3,..,..,..,..,..,..,..,..,..,..,..,..,21451,22266.96133,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,2024Q2,2024Q2,71457.40332,75927.87089,..,..,29000.15466,28502.84683,..,..,..,60294.8,70533.3,..,..,..,..,..,..,..,..,..,..,..,..,21821,21002.38526,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,2024Q1,2024Q1,71192.2889,75824.26478,..,..,27809.30657,27893.82018,..,..,..,60071.1,69808.1,..,..,..,..,..,..,..,..,..,..,..,..,21334,20933.11513,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,2025M01,2025M01,..,..,..,..,..,..,..,..,193.7280652,..,..,76.56261501,55.49862629,124.4919786,126.3492063,..,2.549409426,132.0930933,131.8152752,0.9663879698,193.7280652,..,..,..,..,..,..,3579717778,3781856571,..,..,..,91.63561812,..,9458.091685,..
Portugal,PRT,2025M02,2025M02,..,..,..,..,..,..,..,..,192.5762,..,..,78.88291283,57.54031412,..,..,..,2.383686102,132.4062019,131.6711284,0.9604865469,192.5762,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,PRT,2025,2025,..,..,..,..,..,..,..,..,190.7319602,..,..,78.49751478,57.79963161,124.4919786,126.3492063,..,1.472618785,132.2496476,131.7432018,0.9513345288,190.7319602,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,2025Q1,2025Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,2025M03,2025M03,..,..,..,..,..,..,..,..,4.614769231,..,..,343.5951333,215.4283161,..,..,..,..,..,..,4.614769231,4.614769231,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
